Evaluation Protocol,Representation,Model,Cleaning Method,Pearson r
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Residual OOF (10%),0.5564899383932446
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Residual OOF (10%),0.45470821514901516
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Residual OOF (10%),0.5643057059041858
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Residual OOF (10%),0.5570913921998955
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Residual OOF (10%),0.513718349041878
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Residual OOF (15%),0.6643074810717713
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Residual OOF (15%),0.583158402031582
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Residual OOF (15%),0.48679782575827657
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Residual OOF (15%),0.5819530806630895
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Residual OOF (15%),0.5852703192298431
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Residual OOF (15%),0.5278610323344615
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Residual OOF (20%),0.6884284574119941
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Residual OOF (20%),0.6037092406747282
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Residual OOF (20%),0.5096329374953809
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Residual OOF (20%),0.6642294977316563
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Residual OOF (20%),0.5849936458796753
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Residual OOF (20%),0.5367476926180184
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Huber Robust (15%),0.4502790243741443
